code,name,year,column,points,option,number,prerequisits,equivalents,menu
GRAP1052,Industrial Design Prototyping 1,1,1,12,1,1,,,
GRAP1049,Industrial Design Drawing 1,1,2,12,1,1,,,
GRAP1050,Computer Aided Industrial Design 1,1,3,12,1,1,,,
GRAP1041,Design in Society,1,4,12,1,1,,,
GRAP1031,Industrial Design Practice,1,5,12,1,1,,,
ARCH3355,Industrial Design Prototyping 2,1,6,12,1,1,GRAP1052,,
GRAP2576,Industrial Design Drawing 2,1,7,12,1,1,GRAP1049,,
GRAP2577,Computer Aided Industrial Design 2,1,8,12,1,1,GRAP1050,,
,Minor Course,2,1,12,1,1,,,GRAP2578 GRAP1037 GRAP1051 INTE2652 GRAP2575 ARCH3361 GRAP1042 ARCH1478 ARCH1479 GRAP2572 ARCH1477 GRAP1043 ARCH1372 ARCH3356 ARCH3347 PERF2017 GRAP2572 GRAP2571 GRAP2570 External
,Major Course,2,2,12,1,1,,,GRAP2578 GRAP1037 GRAP1051 INTE2652 GRAP2575 ARCH3361 GRAP1042 ARCH1478 ARCH1479 GRAP2572 ARCH1477 GRAP1043 ARCH1372 ARCH3356 ARCH3347 PERF2017 GRAP2572 GRAP2571 GRAP2570 External
,Design Studio,2,3,24,1,1,GRAP1052 GRAP1049 GRAP1050 GRAP1041 GRAP1042 ARCH3355 GRAP2576 GRAP2577,,ARCH3362 ARCH3364 ARCH3366 GRAP2221
,Design Studio,2,5,24,1,1,GRAP1052 GRAP1049 GRAP1050 GRAP1041 GRAP1042 ARCH3355 GRAP2576 GRAP2577,,ARCH3362 ARCH3364 ARCH3366 GRAP2221
,Major Course,2,7,12,1,1,,,GRAP2578 GRAP1037 GRAP1051 INTE2652 GRAP2575 ARCH3361 GRAP1042 ARCH1478 ARCH1479 GRAP2572 ARCH1477 GRAP1043 ARCH1372 ARCH3356 ARCH3347 PERF2017 GRAP2572 GRAP2571 GRAP2570 External
,Minor Course,2,8,12,1,1,,,GRAP2578 GRAP1037 GRAP1051 INTE2652 GRAP2575 ARCH3361 GRAP1042 ARCH1478 ARCH1479 GRAP2572 ARCH1477 GRAP1043 ARCH1372 ARCH3356 ARCH3347 PERF2017 GRAP2572 GRAP2571 GRAP2570 External
,Minor Course,3,1,12,1,1,,,GRAP2578 GRAP1037 GRAP1051 INTE2652 GRAP2575 ARCH3361 GRAP1042 ARCH1478 ARCH1479 GRAP2572 ARCH1477 GRAP1043 ARCH1372 ARCH3356 ARCH3347 PERF2017 GRAP2572 GRAP2571 GRAP2570 External
,Major Course,3,2,12,1,1,,,GRAP2578 GRAP1037 GRAP1051 INTE2652 GRAP2575 ARCH3361 GRAP1042 ARCH1478 ARCH1479 GRAP2572 ARCH1477 GRAP1043 ARCH1372 ARCH3356 ARCH3347 PERF2017 GRAP2572 GRAP2571 GRAP2570 External
,Design Studio,3,3,24,1,1,GRAP1052 GRAP1049 GRAP1050 GRAP1041 GRAP1042 ARCH3355 GRAP2576 GRAP2577,,ARCH3362 ARCH3364 ARCH3366 GRAP2221
,Design Studio,3,5,24,1,1,GRAP1052 GRAP1049 GRAP1050 GRAP1041 GRAP1042 ARCH3355 GRAP2576 GRAP2577,,ARCH3362 ARCH3364 ARCH3366 GRAP2221
,Major Course,3,7,12,1,1,,,GRAP2578 GRAP1037 GRAP1051 INTE2652 GRAP2575 ARCH3361 GRAP1042 ARCH1478 ARCH1479 GRAP2572 ARCH1477 GRAP1043 ARCH1372 ARCH3356 ARCH3347 PERF2017 GRAP2572 GRAP2571 GRAP2570 External
,Minor Course,3,8,12,1,1,,,GRAP2578 GRAP1037 GRAP1051 INTE2652 GRAP2575 ARCH3361 GRAP1042 ARCH1478 ARCH1479 GRAP2572 ARCH1477 GRAP1043 ARCH1372 ARCH3356 ARCH3347 PERF2017 GRAP2572 GRAP2571 GRAP2570 External
,Major Option,4,1,12,1,1,,,GRAP2578 GRAP1037 GRAP1051 INTE2652 GRAP2575 ARCH3361 GRAP1042 ARCH1478 ARCH1479 GRAP2572 ARCH1477 GRAP1043 ARCH1372 ARCH3356 ARCH3347 PERF2017 GRAP2572 GRAP2571 GRAP2570 External
,Major Option,4,2,12,1,1,,,GRAP2578 GRAP1037 GRAP1051 INTE2652 GRAP2575 ARCH3361 GRAP1042 ARCH1478 ARCH1479 GRAP2572 ARCH1477 GRAP1043 ARCH1372 ARCH3356 ARCH3347 PERF2017 GRAP2572 GRAP2571 GRAP2570 External
GRAP2225,Methods in Design Research and Practice,4,3,12,1,1,ARCH3362 ARCH3364 ARCH3366 GRAP2221,,
GRAP2935,Industrial Design Honours Project Part 1,4,4,12,1,1,ARCH3362 ARCH3364 ARCH3366 GRAP2221,,
GRAP2930,Industrial Design Honours Project Part 2,4,5,24,1,1,GRAP2935,,
,Major Option,4,7,12,1,1,,,GRAP2578 GRAP1037 GRAP1051 INTE2652 GRAP2575 ARCH3361 GRAP1042 ARCH1478 ARCH1479 GRAP2572 ARCH1477 GRAP1043 ARCH1372 ARCH3356 ARCH3347 PERF2017 GRAP2572 GRAP2571 GRAP2570 External
,Major Option,4,8,12,1,1,,,GRAP2578 GRAP1037 GRAP1051 INTE2652 GRAP2575 ARCH3361 GRAP1042 ARCH1478 ARCH1479 GRAP2572 ARCH1477 GRAP1043 ARCH1372 ARCH3356 ARCH3347 PERF2017 GRAP2572 GRAP2571 GRAP2570 External
ARCH3362,Design Studio: Experimentation,,,12,,,,,
ARCH3366,Design Studio: Innovation,,,12,,,,,
ARCH3364,Design Studio: Research,,,12,,,,,
GRAP2221,Design Studio: Technology,,,12,,,,,
GRAP2578,Design for Prototyping and Complex Fabrication,,,12,,,,,
GRAP1037,Design for Additive Manufacture,,,12,,,,,
GRAP1051,Design for Advanced Manufacture,,,12,1,1,GRAP1041||GRAP1052||GRAP1049||GRAP1031||GRAP1032||GRAP1050||GRAP1051||GRAP1042,,
INTE2652,Flexible Modelling for Design Prototyping,,,12,1,1,GRAP1033||GRAP1034||GRAP1035||GRAP2221,,
GRAP2575,Design for Sustainable Production,,,12,1,1,GRAP2225 GRAP2221 GRAP1035 GRAP1034 GRAP1033,,
ARCH3361,Design for Sustainable Systems and Innovation,,,12,1,1,,,GRAP2940 GRAP2941 GRAP2926 GRAP2578 GRAP2572 ARCH1478 ARCH1477 GRAP2571 University
GRAP1042,"Sustainability, Sociotechnical Systems and Change",,,12,,,,,
ARCH1478,"Product, Service and Systems Design",,,12,,,,,
ARCH1479,Interactive Products and Systems Design,,,12,,,,,
GRAP2572,Electronic and Interactive Prototyping,,,12,,,,,
ARCH1477,Computational Prototyping for Design,,,12,,,,,
GRAP1043,Interactive Technologies in Culture,,,12,,,,,
ARCH1372,Immersive Sound Environments,,,12,,,,,
ARCH3356,Sonic Materials,,,12,,,,,
ARCH3347,Soundscape Studies,,,12,,,,,
PERF2017,Spatial Sound Performance,,,12,,,,,
GRAP2572,Electronic and Electronic and Interactive Prototyping,,,12,,,,,
GRAP2571,Design Internship,,,12,,,,,
GRAP2570,Atelier,,,12,,,,,
External,Minor,,,12,,,,,
,Univeristy or Program Elective,,,12,1,1,,,GRAP2940 GRAP2941 GRAP2926 GRAP2578 GRAP2572 ARCH1478 ARCH1477 GRAP2571 University
,Program Elective,,,12,1,1,,,GRAP2940 GRAP2941 GRAP2926 GRAP2578 GRAP2572 ARCH1478 ARCH1477 GRAP2571
