code,name,year,column,width,menu,prerequisits
GRAP1041,,1,1,1,,
GRAP1050,,1,2,1,,
GRAP1052,,1,3,1,,
GRAP1049,,1,4,1,,
GRAP1031,,1,5,1,,
GRAP2577,,1,6,1,,
ARCH3355,,1,7,1,,
GRAP2576,,1,8,1,,
majorSelect,Major,1,3,2,MAJOR1 MAJOR2 MAJOR3 MAJOR4 OPEN1,
minorSelect,Minor,1,5,2,MINOR1 MINOR2 MINOR3 MINOR4 MINOR5 OPEN2,
,Minor Course,2,1,1,MINOR,MINOR1||MINOR2||MINOR3||MINOR4||MINOR5||OPEN2
,Major Course,2,2,1,MAJOR,MAJOR1||MAJOR2||MAJOR3||MAJOR4||OPEN1
,Design Studio,2,3,2,ARCH3362 ARCH3364 ARCH3366 GRAP2221,GRAP1052 GRAP1049 GRAP1050 GRAP1041 GRAP1031 ARCH3355 GRAP2576 GRAP2577
,Design Studio,2,5,2,ARCH3362 ARCH3364 ARCH3366 GRAP2221,GRAP1052 GRAP1049 GRAP1050 GRAP1041 GRAP1031 ARCH3355 GRAP2576 GRAP2577
,Major Course,2,7,1,MAJOR,MAJOR1||MAJOR2||MAJOR3||MAJOR4||OPEN1
,Minor Course,2,8,1,MINOR,MINOR1||MINOR2||MINOR3||MINOR4||MINOR5||OPEN2
,Minor Course,3,1,1,MINOR,MINOR1||MINOR2||MINOR3||MINOR4||MINOR5||OPEN2
,Major Course,3,2,1,MAJOR,MAJOR1||MAJOR2||MAJOR3||MAJOR4||OPEN1
,Design Studio,3,3,2,ARCH3362 ARCH3364 ARCH3366 GRAP2221,GRAP1052 GRAP1049 GRAP1050 GRAP1041 GRAP1031 ARCH3355 GRAP2576 GRAP2577
,Design Studio,3,5,2,ARCH3362 ARCH3364 ARCH3366 GRAP2221,GRAP1052 GRAP1049 GRAP1050 GRAP1041 GRAP1031 ARCH3355 GRAP2576 GRAP2577
,Major Course,3,7,1,MAJOR,MAJOR1||MAJOR2||MAJOR3||MAJOR4||OPEN1
,Minor Course,3,8,1,MINOR,MINOR1||MINOR2||MINOR3||MINOR4||MINOR5||OPEN2
,Major or Minor Option,4,1,1,GRAP1042 ARCH3361 GRAP2575 ARCH1478 GRAP1051 GRAP1037 GRAP2578 INTE2652 ARCH1479 GRAP1043 GRAP2572 ARCH1477 ARCH3347 ARCH1372 PERF2070 ARCH3356 ARCH1479 GRAP2571 GRAP2570 minor-1 minor-2 minor-3 minor-4,
,Major or Minor Option,4,2,1,GRAP1042 ARCH3361 GRAP2575 ARCH1478 GRAP1051 GRAP1037 GRAP2578 INTE2652 ARCH1479 GRAP1043 GRAP2572 ARCH1477 ARCH3347 ARCH1372 PERF2070 ARCH3356 ARCH1479 GRAP2571 GRAP2570 minor-1 minor-2 minor-3 minor-4,
GRAP2225,,4,3,1,,
ARCH3368,,4,4,1,,
GRAP1040,,4,5,2,,
,Major or Minor Option,4,7,1,GRAP1042 ARCH3361 GRAP2575 ARCH1478 GRAP1051 GRAP1037 GRAP2578 INTE2652 ARCH1479 GRAP1043 GRAP2572 ARCH1477 ARCH3347 ARCH1372 PERF2070 ARCH3356 ARCH1479 GRAP2571 GRAP2570 minor-1 minor-2 minor-3 minor-4,
,Major or Minor Option,4,8,1,GRAP1042 ARCH3361 GRAP2575 ARCH1478 GRAP1051 GRAP1037 GRAP2578 INTE2652 ARCH1479 GRAP1043 GRAP2572 ARCH1477 ARCH3347 ARCH1372 PERF2070 ARCH3356 ARCH1479 GRAP2571 GRAP2570 minor-1 minor-2 minor-3 minor-4,